time stamp	lon	lat	alt	head
1582662569.5	-80.402	33.389	17499	-53.6
1582662570.0	-80.402	33.389	17504	-53.6
1582662570.5	-80.403	33.390	17505	-53.6
1582662571.0	-80.404	33.391	17509	-53.5
1582662571.5	-80.405	33.391	17510	-53.5
1582662572.0	-80.406	33.392	17513	-53.5
1582662572.5	-80.406	33.392	17514	-53.5
1582662573.0	-80.407	33.393	17517	-53.5
1582662573.5	-80.408	33.393	17518	-53.4
1582662574.0	-80.409	33.394	17520	-53.4
1582662574.5	-80.410	33.395	17521	-53.4
1582662575.0	-80.410	33.395	17523	-53.4
1582662575.5	-80.411	33.396	17523	-53.4
1582662576.0	-80.412	33.396	17525	-53.4
1582662576.5	-80.413	33.397	17526	-53.4
1582662577.0	-80.413	33.397	17527	-53.4
1582662577.5	-80.414	33.398	17528	-53.4
1582662578.0	-80.415	33.398	17529	-53.4
1582662578.5	-80.416	33.399	17530	-53.5
1582662579.0	-80.417	33.400	17532	-53.5
1582662579.5	-80.417	33.400	17532	-53.5
1582662580.0	-80.418	33.401	17534	-53.4
1582662580.5	-80.419	33.401	17535	-53.4
1582662581.0	-80.420	33.402	17537	-53.4
1582662581.5	-80.421	33.402	17538	-53.4
1582662582.0	-80.421	33.403	17540	-53.4
1582662582.5	-80.422	33.404	17540	-53.4
1582662583.0	-80.423	33.404	17543	-53.4
1582662583.5	-80.424	33.405	17544	-53.4
1582662584.0	-80.424	33.405	17546	-53.4
1582662584.5	-80.425	33.406	17547	-53.4
1582662585.0	-80.426	33.406	17549	-53.4
1582662585.5	-80.427	33.407	17550	-53.4
1582662586.0	-80.427	33.408	17553	-53.4
1582662586.5	-80.428	33.408	17553	-53.4
1582662587.0	-80.429	33.409	17556	-53.4
1582662587.5	-80.430	33.409	17557	-53.4
1582662588.0	-80.431	33.410	17559	-53.4
1582662588.5	-80.431	33.410	17560	-53.3
1582662589.0	-80.432	33.411	17563	-53.3
1582662589.5	-80.433	33.411	17564	-53.3
1582662590.0	-80.434	33.412	17567	-53.3
1582662590.5	-80.434	33.413	17568	-53.3
1582662591.0	-80.435	33.413	17571	-53.3
1582662591.5	-80.436	33.414	17572	-53.3
1582662592.0	-80.437	33.414	17574	-53.3
1582662592.5	-80.438	33.415	17575	-53.3
1582662593.0	-80.438	33.415	17578	-53.3
1582662593.5	-80.439	33.416	17579	-53.3
1582662594.0	-80.440	33.417	17582	-53.3
1582662594.5	-80.441	33.417	17583	-53.3
1582662595.0	-80.441	33.418	17586	-53.3
1582662595.5	-80.442	33.418	17586	-53.3
1582662596.0	-80.443	33.419	17589	-53.3
1582662596.5	-80.444	33.419	17590	-53.3
1582662597.0	-80.445	33.420	17593	-53.3
1582662597.5	-80.445	33.421	17594	-53.3
1582662598.0	-80.446	33.421	17597	-53.3
1582662598.5	-80.447	33.422	17597	-53.3
1582662599.0	-80.448	33.422	17600	-53.3
1582662599.5	-80.448	33.423	17601	-53.2
1582662600.0	-80.449	33.423	17603	-53.2
1582662600.5	-80.450	33.424	17604	-53.2
1582662601.0	-80.451	33.424	17607	-53.2
1582662601.5	-80.452	33.425	17608	-53.2
1582662602.0	-80.452	33.426	17610	-53.2
1582662602.5	-80.453	33.426	17611	-53.2
1582662603.0	-80.454	33.427	17614	-53.2
1582662603.5	-80.455	33.427	17614	-53.2
1582662604.0	-80.456	33.428	17617	-53.2
1582662604.5	-80.456	33.428	17618	-53.1
1582662605.0	-80.457	33.429	17620	-53.1
1582662605.5	-80.458	33.430	17621	-53.1
1582662606.0	-80.459	33.430	17624	-53.1
1582662606.5	-80.460	33.431	17624	-53.1
1582662607.0	-80.460	33.431	17627	-53.1
1582662607.5	-80.461	33.432	17627	-53.1
1582662608.0	-80.462	33.432	17630	-53.1
1582662608.5	-80.463	33.433	17630	-53.1
1582662609.0	-80.463	33.434	17632	-53.1
1582662609.5	-80.464	33.434	17633	-53.1
1582662610.0	-80.465	33.435	17635	-53.1
1582662610.5	-80.466	33.435	17636	-53.1
1582662611.0	-80.467	33.436	17638	-53.1
1582662611.5	-80.467	33.436	17638	-53.1
1582662612.0	-80.468	33.437	17640	-53.1
1582662612.5	-80.469	33.438	17640	-53.1
1582662613.0	-80.470	33.438	17643	-53.1
1582662613.5	-80.470	33.439	17643	-53.1
1582662614.0	-80.471	33.439	17645	-53.1
1582662614.5	-80.472	33.440	17646	-53.1
1582662615.0	-80.473	33.440	17648	-53.1
1582662615.5	-80.474	33.441	17649	-53.1
1582662616.0	-80.474	33.441	17651	-53.1
1582662616.5	-80.475	33.442	17652	-53.1
1582662617.0	-80.476	33.443	17654	-53.0
1582662617.5	-80.477	33.443	17654	-53.0
1582662618.0	-80.477	33.444	17657	-53.0
1582662618.5	-80.478	33.444	17658	-53.0
1582662619.0	-80.479	33.445	17660	-53.0
1582662619.5	-80.480	33.445	17661	-53.0
1582662620.0	-80.481	33.446	17663	-53.0
1582662620.5	-80.481	33.447	17664	-53.0
1582662621.0	-80.482	33.447	17666	-53.0
1582662621.5	-80.483	33.448	17667	-52.9
1582662622.0	-80.484	33.448	17669	-52.9
1582662622.5	-80.485	33.449	17670	-52.9
1582662623.0	-80.485	33.449	17672	-52.9
1582662623.5	-80.486	33.450	17672	-53.0
1582662624.0	-80.487	33.450	17675	-53.0
1582662624.5	-80.488	33.451	17675	-53.0
1582662625.0	-80.489	33.452	17677	-52.9
1582662625.5	-80.489	33.452	17678	-52.9
1582662626.0	-80.490	33.453	17680	-52.9
1582662626.5	-80.491	33.453	17681	-52.8
1582662627.0	-80.492	33.454	17683	-52.8
1582662627.5	-80.492	33.455	17684	-52.8
1582662628.0	-80.493	33.455	17686	-52.8
1582662628.5	-80.494	33.456	17687	-52.8
1582662629.0	-80.495	33.456	17689	-52.8
1582662629.5	-80.496	33.457	17690	-52.8
1582662630.0	-80.496	33.457	17692	-52.7
1582662630.5	-80.497	33.458	17693	-52.7
1582662631.0	-80.498	33.458	17695	-52.8
1582662631.5	-80.499	33.459	17696	-52.8
1582662632.0	-80.499	33.460	17697	-52.8
1582662632.5	-80.500	33.460	17698	-52.8
1582662633.0	-80.501	33.461	17700	-52.8
1582662633.5	-80.502	33.461	17700	-52.8
1582662634.0	-80.503	33.462	17702	-52.8
1582662634.5	-80.503	33.462	17703	-52.8
1582662635.0	-80.504	33.463	17705	-52.7
1582662635.5	-80.505	33.464	17705	-52.7
1582662636.0	-80.506	33.464	17707	-52.7
1582662636.5	-80.507	33.465	17708	-52.7
1582662637.0	-80.508	33.465	17709	-52.7
1582662637.5	-80.508	33.466	17710	-52.7
1582662638.0	-80.509	33.466	17712	-52.7
1582662638.5	-80.510	33.467	17712	-52.8
1582662639.0	-80.511	33.468	17714	-52.8
1582662639.5	-80.511	33.468	17714	-52.8
1582662640.0	-80.512	33.469	17716	-52.8
1582662640.5	-80.513	33.469	17717	-52.8
1582662641.0	-80.514	33.470	17719	-52.8
1582662641.5	-80.515	33.470	17719	-52.8
1582662642.0	-80.515	33.471	17721	-52.8
1582662642.5	-80.516	33.472	17722	-52.8
1582662643.0	-80.517	33.472	17723	-52.8
1582662643.5	-80.518	33.473	17724	-52.8
1582662644.0	-80.519	33.473	17726	-52.9
1582662644.5	-80.519	33.474	17726	-52.9
1582662645.0	-80.520	33.474	17728	-52.9
1582662645.5	-80.521	33.475	17729	-52.9
1582662646.0	-80.522	33.476	17730	-52.9
1582662646.5	-80.523	33.476	17731	-52.9
1582662647.0	-80.523	33.477	17733	-52.9
1582662647.5	-80.524	33.477	17733	-52.9
1582662648.0	-80.525	33.478	17735	-52.9
1582662648.5	-80.526	33.478	17736	-52.9
1582662649.0	-80.526	33.479	17738	-52.9
1582662649.5	-80.527	33.480	17738	-52.9
1582662650.0	-80.528	33.480	17740	-52.9
1582662650.5	-80.529	33.481	17740	-52.9
1582662651.0	-80.529	33.481	17742	-52.9
1582662651.5	-80.530	33.482	17743	-52.9
1582662652.0	-80.531	33.482	17745	-52.9
1582662652.5	-80.532	33.483	17745	-52.9
1582662653.0	-80.533	33.484	17747	-52.9
1582662653.5	-80.534	33.484	17747	-52.9
1582662654.0	-80.534	33.485	17749	-52.9
1582662654.5	-80.535	33.485	17750	-53.0
1582662655.0	-80.536	33.486	17751	-53.0
1582662655.5	-80.537	33.486	17752	-53.0
1582662656.0	-80.538	33.487	17754	-53.0
1582662656.5	-80.538	33.488	17754	-53.0
1582662657.0	-80.539	33.488	17756	-53.0
1582662657.5	-80.540	33.489	17757	-53.0
1582662658.0	-80.541	33.489	17758	-53.0
1582662658.5	-80.542	33.490	17759	-53.0
1582662659.0	-80.542	33.490	17761	-53.0
1582662659.5	-80.543	33.491	17761	-53.0
1582662660.0	-80.544	33.492	17763	-53.0
1582662660.5	-80.545	33.492	17764	-53.0
1582662661.0	-80.546	33.493	17765	-53.0
1582662661.5	-80.546	33.493	17766	-53.0
1582662662.0	-80.547	33.494	17768	-53.1
1582662662.5	-80.548	33.495	17768	-53.1
1582662663.0	-80.549	33.495	17770	-53.1
1582662663.5	-80.549	33.496	17770	-53.1
1582662664.0	-80.550	33.496	17772	-53.1
1582662664.5	-80.551	33.497	17773	-53.2
1582662665.0	-80.552	33.497	17775	-53.2
1582662665.5	-80.553	33.498	17776	-53.2
1582662666.0	-80.553	33.499	17778	-53.2
1582662666.5	-80.554	33.499	17778	-53.2
1582662667.0	-80.555	33.500	17781	-53.2
1582662667.5	-80.556	33.500	17782	-53.2
1582662668.0	-80.557	33.501	17784	-53.2
1582662668.5	-80.557	33.501	17785	-53.2
1582662669.0	-80.558	33.502	17787	-53.2
1582662669.5	-80.559	33.503	17788	-53.2
1582662670.0	-80.560	33.503	17790	-53.3
1582662670.5	-80.561	33.504	17791	-53.3
1582662671.0	-80.561	33.504	17793	-53.3
1582662671.5	-80.562	33.505	17794	-53.3
1582662672.0	-80.563	33.506	17796	-53.3
1582662672.5	-80.564	33.506	17797	-53.3
1582662673.0	-80.565	33.507	17800	-53.3
1582662673.5	-80.565	33.507	17801	-53.3
1582662674.0	-80.566	33.508	17803	-53.3
1582662674.5	-80.567	33.508	17804	-53.4
1582662675.0	-80.568	33.509	17806	-53.4
1582662675.5	-80.568	33.509	17807	-53.4
1582662676.0	-80.569	33.510	17810	-53.4
1582662676.5	-80.570	33.511	17810	-53.4
1582662677.0	-80.571	33.511	17813	-53.4
1582662677.5	-80.572	33.512	17814	-53.5
1582662678.0	-80.573	33.512	17816	-53.5
1582662678.5	-80.573	33.513	17817	-53.5
1582662679.0	-80.574	33.514	17819	-53.5
1582662679.5	-80.575	33.514	17820	-53.5
1582662680.0	-80.576	33.515	17822	-53.5
1582662680.5	-80.577	33.515	17823	-53.5
1582662681.0	-80.577	33.516	17825	-53.5
1582662681.5	-80.578	33.516	17826	-53.5
1582662682.0	-80.579	33.517	17828	-53.5
1582662682.5	-80.580	33.518	17828	-53.5
1582662683.0	-80.580	33.518	17830	-53.6
